epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.833,1.96878,2.33632,1.18975,0.48684,0.71293,0.56665,0.29488,1.71683,1.47767,1.12575,0.00020815,0.00020815,0.00020815
2,549.865,1.74455,1.45064,1.13318,0.7764,0.79364,0.84523,0.48983,1.45146,1.04766,1.05697,0.000388995,0.000388995,0.000388995
3,774.833,1.6803,1.25892,1.11207,0.82061,0.83318,0.89586,0.55531,1.34852,0.91431,1.0306,0.000542341,0.000542341,0.000542341
4,983.952,1.59958,1.13517,1.08607,0.85608,0.84565,0.91869,0.61677,1.20929,0.83285,0.98972,0.00050125,0.00050125,0.00050125
5,1183.16,1.53682,1.04165,1.06183,0.8918,0.88002,0.94526,0.6298,1.23979,0.75338,0.99567,0.00046,0.00046,0.00046
6,1424.54,1.50408,0.92306,1.08469,0.8975,0.88251,0.94817,0.62775,1.22264,0.71113,0.98987,0.00041875,0.00041875,0.00041875
7,1608.56,1.45593,0.86491,1.06782,0.92463,0.90436,0.96389,0.67783,1.12088,0.65809,0.96108,0.0003775,0.0003775,0.0003775
8,1791.26,1.41878,0.82834,1.05435,0.92877,0.90818,0.96595,0.67554,1.13282,0.63374,0.95986,0.00033625,0.00033625,0.00033625
