epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1252.2,1.26904,0.6892,1.01722,0.97249,0.96425,0.98896,0.75553,0.95639,0.44493,0.96171,0.007921,0.007921,0.007921
44,1432.58,1.26609,0.68784,1.01782,0.97396,0.96347,0.9891,0.75572,0.95612,0.44308,0.96122,0.0078715,0.0078715,0.0078715
45,1611.01,1.26046,0.68492,1.01623,0.97216,0.9648,0.98906,0.75625,0.95435,0.44228,0.96032,0.007822,0.007822,0.007822
46,1786.96,1.26036,0.68391,1.01609,0.9728,0.96488,0.98918,0.75705,0.95273,0.44144,0.95958,0.0077725,0.0077725,0.0077725
47,1963.1,1.25733,0.67859,1.01467,0.97449,0.96284,0.98919,0.75756,0.95181,0.44045,0.95924,0.007723,0.007723,0.007723
48,2138.94,1.25505,0.68053,1.01103,0.97385,0.96357,0.98916,0.75852,0.94963,0.43976,0.95852,0.0076735,0.0076735,0.0076735
49,2312.91,1.25547,0.67848,1.01435,0.97249,0.96638,0.98929,0.759,0.94824,0.43916,0.95791,0.007624,0.007624,0.007624
50,2490.71,1.2487,0.67439,1.01044,0.97182,0.96812,0.98939,0.75949,0.94657,0.43797,0.95724,0.0075745,0.0075745,0.0075745
51,2674.02,1.24851,0.67043,1.01228,0.974,0.96616,0.98945,0.76018,0.9452,0.43584,0.95668,0.007525,0.007525,0.007525
52,2868.19,1.24508,0.67075,1.01048,0.97423,0.9668,0.9895,0.75997,0.94456,0.43511,0.95629,0.0074755,0.0074755,0.0074755
53,3045.35,1.24619,0.67042,1.00918,0.97471,0.96703,0.98951,0.76081,0.94318,0.4344,0.95591,0.007426,0.007426,0.007426
54,203.55,1.21908,0.65094,1.00014,0.97574,0.96629,0.9895,0.76127,0.9423,0.43331,0.95545,0.0073765,0.0073765,0.0073765
